feature,importance
nn5_mean,0.5894177228116767
nn4_mean,0.3045891267606193
nn6_mean,0.021513329910806962
nn7_mean,0.01481680429915197
nn3_mean,0.013780641550888014
a_A,0.012137289895954204
c_A,0.010822028177216933
b_A,0.010347036682688849
volume_A3_atom,0.010141916952487206
density_atoms_A3,0.00990600566639641
nn2_mean,0.0005865011003414535
nn8_mean,0.0005466498655578886
nn1_mean,0.00043574117567339544
nn10_mean,0.00028653337431655264
nn11_mean,0.00018162865812538958
nn9_mean,0.00011663964656472527
nn12_mean,8.035790049045024e-05
nn9_std,3.34893417611781e-05
nn3_std,2.958619479574989e-05
nn7_std,2.8963375034387504e-05
nn12_std,2.8640588803714356e-05
nn8_std,2.8426138805390103e-05
nn10_std,2.503313894466475e-05
nn6_std,2.373703096547431e-05
nn11_std,2.0723203472985556e-05
nn5_std,1.9218714145202085e-05
nn2_std,1.8772981788299807e-05
nn4_std,1.8755188663725382e-05
nn1_std,1.869967386281847e-05
natoms,0.0
gamma_deg,0.0
beta_deg,0.0
alpha_deg,0.0
phase_fcc,0.0
